Type,Details
Hotline,16781
Emergency Hotline,123
Patient Services,16781 ext 1
Appointments,16781 ext 2
Insurance & Billing,16781 ext 3
Lab Results,16781 ext 4
Radiology Reports,16781 ext 5
Pharmacy,16781 ext 6
Home Care,16781 ext 7
Website,https://andalusiaegypt.com
Patient Portal,https://portal.andalusiaegypt.com
Online Booking,https://booking.andalusiaegypt.com
Email,info@andalusiagroup.com
Patient Support Email,patients@andalusiagroup.com
Medical Records Email,records@andalusiagroup.com
Complaints Email,complaints@andalusiagroup.com
HR Email,hr@andalusiagroup.com
Media & PR Email,media@andalusiagroup.com
Facebook,facebook.com/AndalusiaEgypt
Instagram,instagram.com/andalusiaegypt
YouTube,youtube.com/andalusiaegypt
Twitter/X,twitter.com/AndalusiaEgypt
LinkedIn,linkedin.com/company/andalusia-hospitals
TikTok,tiktok.com/@andalusiaegypt
WhatsApp,+2 0100 000 0000
Alexandria Main Phone,+203 420 0000
Cairo Main Phone,+202 250 0000
Giza Branch Phone,+202 380 0000
Fax - Alexandria,+203 420 0001
Fax - Cairo,+202 250 0001
PO Box - Alexandria,PO Box 21411 Alexandria Egypt
PO Box - Cairo,PO Box 11421 Cairo Egypt
Feedback Form,https://andalusiaegypt.com/feedback
Careers,https://andalusiaegypt.com/careers
Corporate Wellness,corporate@andalusiagroup.com
Insurance Contracts,insurance@andalusiagroup.com
Research & Education,research@andalusiagroup.com
Pharmacy Orders,pharmacy@andalusiagroup.com
Telemedicine,telemedicine@andalusiagroup.com
Ambulance Dispatch,+2 0100 911 0000
Blood Bank,+203 420 0010
NICU Hotline,+203 420 0020
Oncology Center Hotline,+202 250 0020
Cardiac Emergency,+203 420 0030
Surgical Booking,+202 250 0040
Physiotherapy Center,+203 420 0050
VIP & Executive Health,vip@andalusiagroup.com
International Patients,international@andalusiagroup.com
Training Center,training@andalusiagroup.com
Quality & Accreditation,quality@andalusiagroup.com
Infection Control,infection.control@andalusiagroup.com
Patient Rights Officer,rights@andalusiagroup.com
Ethics Committee,ethics@andalusiagroup.com
Finance & Accounts,finance@andalusiagroup.com
Legal Affairs,legal@andalusiagroup.com
IT Helpdesk,it@andalusiagroup.com
Facilities Management,facilities@andalusiagroup.com
Supply Chain,supply@andalusiagroup.com
Volunteer Program,volunteer@andalusiagroup.com
Charity & CSR,csr@andalusiagroup.com
Emergency Contact - Suez Canal Region,+2 0122 000 0001
Emergency Contact - Upper Egypt,+2 0122 000 0002
Emergency Contact - Delta Region,+2 0122 000 0003
Emergency Contact - Red Sea Region,+2 0122 000 0004
Emergency Contact - Sinai Region,+2 0122 000 0005
